127.0.0.1, 2014-04-01 12:51:32, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2014-04-01 12:51:32, GET, /examples/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-04-01 12:51:32, GET, /examples/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-04-01 12:51:32, GET, /examples/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-04-01 12:51:32, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-04-01 12:51:32, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-04-01 12:51:32, GET, /examples/static/images/shadow-bottom.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-04-01 12:51:32, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-04-01 12:51:32, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-04-01 12:51:32, GET, /examples/static/images/questions.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-04-01 12:51:32, GET, /examples/static/images/stripes.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-04-01 12:51:33, GET, /examples/static/images/twitter.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-04-01 12:51:33, GET, /examples/static/images/facebook.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-04-01 12:51:33, GET, /examples/static/images/gplus-32.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-04-01 12:51:33, GET, /examples/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-04-01 12:51:35, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-04-01 12:51:35, GET, /admin/default/site, HTTP/1.1, 200, 0.132000
127.0.0.1, 2014-04-01 12:51:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-04-01 12:51:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-04-01 12:51:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-04-01 12:52:01, POST, /admin/default/site, HTTP/1.1, 303, 0.356000
127.0.0.1, 2014-04-01 12:52:01, GET, /admin/default/design/chieti, HTTP/1.1, 200, 0.180000
127.0.0.1, 2014-04-01 12:52:01, GET, /admin/static/_2.9.5/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-01 12:52:01, GET, /admin/static/_2.9.5/js/calendar.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2014-04-01 12:52:01, GET, /admin/static/_2.9.5/js/web2py.js, HTTP/1.1, 304, 0.006000
127.0.0.1, 2014-04-01 12:52:01, GET, /admin/static/_2.9.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.007000
127.0.0.1, 2014-04-01 12:52:01, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.006000
127.0.0.1, 2014-04-01 12:52:01, GET, /admin/static/_2.9.5/plugin_multiselect/start.js, HTTP/1.1, 304, 0.006000
127.0.0.1, 2014-04-01 12:52:01, GET, /admin/static/_2.9.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.008000
127.0.0.1, 2014-04-01 12:52:01, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-04-01 12:52:01, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-04-01 12:52:01, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-04-01 12:52:01, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-04-01 12:52:01, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-04-01 12:52:15, GET, /admin/default/peek/chieti/controllers/default.py, HTTP/1.1, 200, 0.078000
127.0.0.1, 2014-04-01 12:52:15, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/default/edit/chieti/controllers/default.py, HTTP/1.1, 200, 0.108000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/static/_2.9.5/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/static/_2.9.5/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/static/_2.9.5/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/static/_2.9.5/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/static/_2.9.5/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/static/_2.9.5/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/static/_2.9.5/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/static/_2.9.5/css/web2py-codemirror.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/static/_2.9.5/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/static/_2.9.5/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/static/_2.9.5/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/static/_2.9.5/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/static/_2.9.5/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/static/_2.9.5/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/static/_2.9.5/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/static/_2.9.5/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/static/_2.9.5/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/static/_2.9.5/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/static/_2.9.5/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/static/_2.9.5/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/static/_2.9.5/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/static/_2.9.5/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/static/_2.9.5/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/static/_2.9.5/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/static/_2.9.5/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/static/_2.9.5/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/static/_2.9.5/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/static/_2.9.5/codemirror/emmet.min.js, HTTP/1.1, 200, 0.003000
, 0.003000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/static/_2.9.5/js/ajax_editor.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/static/_2.9.5/js/typeahead.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/static/_2.9.5/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/static/_2.9.5/images/files_toggle.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/default/edit/chieti/controllers/default.py, HTTP/1.1, 200, 0.049000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.037000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.086000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-04-01 12:53:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.142000
127.0.0.1, 2014-04-01 12:53:10, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.023000
127.0.0.1, 2014-04-01 12:53:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-04-01 12:54:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.090000
127.0.0.1, 2014-04-01 12:54:42, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-04-01 12:55:01, GET, /admin/default/site, HTTP/1.1, 200, 0.061000
127.0.0.1, 2014-04-01 12:55:03, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-04-01 12:55:03, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-04-01 12:55:05, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-04-01 12:55:11, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.109000
127.0.0.1, 2014-04-01 12:55:13, GET, /admin/default/site, HTTP/1.1, 200, 0.137000
127.0.0.1, 2014-04-01 12:55:13, GET, /admin/static/_2.9.5/js/jquery.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2014-04-01 12:55:13, GET, /admin/static/_2.9.5/css/calendar.css, HTTP/1.1, 304, 0.006000
127.0.0.1, 2014-04-01 12:55:13, GET, /admin/static/_2.9.5/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.006000
127.0.0.1, 2014-04-01 12:55:13, GET, /admin/static/_2.9.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.006000
127.0.0.1, 2014-04-01 12:55:13, GET, /admin/static/_2.9.5/css/bootstrap.min.css, HTTP/1.1, 304, 0.006000
127.0.0.1, 2014-04-01 12:55:13, GET, /admin/static/_2.9.5/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.005000
127.0.0.1, 2014-04-01 12:55:13, GET, /admin/static/_2.9.5/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-01 12:55:13, GET, /admin/static/_2.9.5/js/calendar.js, HTTP/1.1, 304, 0.006000
127.0.0.1, 2014-04-01 12:55:13, GET, /admin/static/_2.9.5/js/web2py.js, HTTP/1.1, 304, 0.006000
127.0.0.1, 2014-04-01 12:55:13, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.005000
127.0.0.1, 2014-04-01 12:55:13, GET, /admin/static/_2.9.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.006000
127.0.0.1, 2014-04-01 12:55:13, GET, /admin/static/_2.9.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.006000
127.0.0.1, 2014-04-01 12:55:13, GET, /admin/static/_2.9.5/plugin_multiselect/start.js, HTTP/1.1, 304, 0.006000
127.0.0.1, 2014-04-01 12:55:13, GET, /admin/static/images/questions.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-01 12:55:13, GET, /admin/static/_2.9.5/images/folder.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-01 12:55:13, GET, /admin/static/_2.9.5/images/folder_locked.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-04-01 12:55:13, GET, /admin/static/_2.9.5/images/glyphicons-halflings-white.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-04-01 12:55:13, GET, /admin/static/_2.9.5/images/glyphicons-halflings.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2014-04-01 12:55:15, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-04-01 12:55:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-04-01 12:55:15, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-04-01 12:56:11, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.084000
127.0.0.1, 2014-04-01 12:56:26, GET, /chieti/default/index, HTTP/1.1, 200, 1.156000
127.0.0.1, 2014-04-01 12:56:26, GET, /chieti/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-04-01 12:56:26, GET, /chieti/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-04-01 12:56:26, GET, /chieti/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-04-01 12:56:26, GET, /chieti/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-04-01 12:56:26, GET, /chieti/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-04-01 12:56:26, GET, /chieti/static/js/jquery.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2014-04-01 12:56:26, GET, /chieti/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-04-01 12:56:26, GET, /chieti/static/js/calendar.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-04-01 12:56:26, GET, /chieti/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-04-01 12:56:26, GET, /chieti/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.002000
